ID:1184 BoundingBox:(1384.18,516.149) - 85.608x211.985
ID:1190 BoundingBox:(1512.84,514.329) - 78.4549x217.037
ID:1191 BoundingBox:(511.486,518.509) - 78.717x161.327
ID:1192 BoundingBox:(714.947,504.459) - 86.525x193.594
ID:1193 BoundingBox:(597.393,511.535) - 56.378x176.874
ID:1184 BoundingBox:(1388.56,510.64) - 82.432x217.97
ID:1190 BoundingBox:(1509.88,508.898) - 76.5038x195.621
ID:1191 BoundingBox:(495.709,520.691) - 70.4561x161.998
ID:1192 BoundingBox:(712.697,497.571) - 84.5712x196.04
ID:1193 BoundingBox:(588.868,505.624) - 64.1929x183.64
ID:1184 BoundingBox:(1399.09,507.36) - 85.3438x225.011
ID:1190 BoundingBox:(1507.74,508.703) - 77.9395x190.94
ID:1191 BoundingBox:(493.373,513.888) - 67.6469x160.371
ID:1192 BoundingBox:(721.847,517.326) - 83.5688x188.755
ID:1193 BoundingBox:(586.105,507.231) - 68.1383x188.461
ID:1194 BoundingBox:(665.441,498.243) - 57.553x162.845
ID:1184 BoundingBox:(1387.14,504.463) - 81.9225x228.784
ID:1190 BoundingBox:(1499.89,509.978) - 78.1532x190.955
ID:1191 BoundingBox:(483.543,522.745) - 77.4447x171.011
ID:1192 BoundingBox:(693.793,509.081) - 82.8236x179.151
ID:1193 BoundingBox:(579.683,505.705) - 65.0056x174.804
ID:1194 BoundingBox:(619.264,500.589) - 59.1873x170.351
ID:1184 BoundingBox:(1385.3,508.856) - 83.4865x235.606
ID:1190 BoundingBox:(1482.09,512.207) - 73.9317x185.308
ID:1191 BoundingBox:(469.391,525.847) - 73.4528x171.083
ID:1192 BoundingBox:(690.367,511.26) - 79.1837x182.266
ID:1193 BoundingBox:(571.397,504.983) - 66.4344x171.373
ID:1184 BoundingBox:(1384.1,502.73) - 84.2536x226.469
ID:1190 BoundingBox:(1473.76,522.265) - 73.7969x180.025
ID:1191 BoundingBox:(466.667,519.285) - 68.8866x166.241
ID:1192 BoundingBox:(681.99,509.479) - 80.073x183.874
ID:1194 BoundingBox:(553.361,519.167) - 59.7598x166.43
ID:1184 BoundingBox:(1385.37,514.761) - 83.2399x224.729
ID:1190 BoundingBox:(1465.58,521.109) - 80.385x177.949
ID:1191 BoundingBox:(467.712,520.872) - 65.8572x161.801
ID:1184 BoundingBox:(1381.65,515.234) - 80.962x226.41
ID:1190 BoundingBox:(1463.83,520.387) - 75.792x176.846
ID:1191 BoundingBox:(463.105,520.127) - 69.548x171.862
ID:1192 BoundingBox:(679.138,523.051) - 74.6837x185.719
ID:1193 BoundingBox:(570.711,514.147) - 87.2746x182.543
ID:1195 BoundingBox:(640.843,515.188) - 45.034x177.039
ID:1184 BoundingBox:(1381.58,514.261) - 80.049x227.807
ID:1190 BoundingBox:(1461.44,521.759) - 74.0185x175.536
ID:1191 BoundingBox:(461.225,520.571) - 70.556x172.181
ID:1192 BoundingBox:(679.381,522.583) - 70.5075x186.96
ID:1193 BoundingBox:(570.634,512.775) - 97.1249x183.909
ID:1195 BoundingBox:(637.979,510.148) - 45.5436x176.767
ID:1184 BoundingBox:(1391.14,519.998) - 81.2671x230.575
ID:1190 BoundingBox:(1454.06,516.768) - 79.0726x180.978
ID:1191 BoundingBox:(453.681,518.413) - 71.5267x169.716
ID:1192 BoundingBox:(676.598,521.057) - 70.2462x182.046
ID:1193 BoundingBox:(581.324,513.756) - 87.6038x178.745
ID:1195 BoundingBox:(631.835,508.927) - 51.4698x176.181
ID:1196 BoundingBox:(552.264,512.76) - 54.621x154.692
ID:1190 BoundingBox:(1445.85,522.164) - 83.5149x192.266
ID:1191 BoundingBox:(451.41,521.02) - 76.4261x161.682
ID:1192 BoundingBox:(668.45,518.242) - 73.4688x182.519
ID:1196 BoundingBox:(564.313,519.213) - 53.9452x151.877
ID:1184 BoundingBox:(1414.13,532.344) - 81.0522x227.387
ID:1191 BoundingBox:(448.217,521.365) - 73.7413x157.656
ID:1192 BoundingBox:(663.815,519.603) - 73.0852x182.118
ID:1193 BoundingBox:(564.084,515.595) - 101.012x180.979
ID:1184 BoundingBox:(1418.94,538.542) - 90.358x240.212
ID:1191 BoundingBox:(449.948,525.084) - 72.3123x160.815
ID:1192 BoundingBox:(657.959,510.195) - 75.6582x182.508
ID:1195 BoundingBox:(595.595,504.112) - 58.3354x177.528
ID:1196 BoundingBox:(553.626,502.751) - 50.4513x147.973
ID:1184 BoundingBox:(1415.73,537.474) - 93.9044x243.618
ID:1191 BoundingBox:(462.851,515.381) - 93.836x169.742
ID:1192 BoundingBox:(656.824,516.327) - 75.2909x186.561
ID:1193 BoundingBox:(562.204,511.638) - 110.658x188.242
ID:1184 BoundingBox:(1411.51,535.268) - 100.344x248.628
ID:1191 BoundingBox:(444.012,516.947) - 90.0715x172.173
ID:1192 BoundingBox:(653.209,521.87) - 76.465x193.623
ID:1195 BoundingBox:(575.692,514.937) - 61.952x179.747
ID:1184 BoundingBox:(1406.26,535.901) - 104.918x251.767
ID:1191 BoundingBox:(428.152,527.848) - 80.0447x163.955
ID:1192 BoundingBox:(644.742,530.571) - 78.2262x202.486
ID:1193 BoundingBox:(487.933,519.104) - 125.39x193.38
ID:1184 BoundingBox:(1418.61,534.024) - 109.259x264.709
ID:1191 BoundingBox:(422.72,525.466) - 79.1695x169.752
ID:1192 BoundingBox:(638.077,526.69) - 80.6561x200.189
ID:1193 BoundingBox:(545.846,516.358) - 125.163x192.9
ID:1197 BoundingBox:(1152.39,477.665) - 58.76x87.118
ID:1184 BoundingBox:(1418.74,533.354) - 106.731x270.031
ID:1191 BoundingBox:(416.583,524.813) - 79.1374x172.357
ID:1192 BoundingBox:(623.502,520.565) - 81.4207x196.402
ID:1193 BoundingBox:(546.382,513.202) - 133.818x190.489
ID:1197 BoundingBox:(1145.31,476.685) - 57.6299x68.4978
ID:1184 BoundingBox:(1418.63,541.084) - 105.659x270.775
ID:1191 BoundingBox:(406.668,528.576) - 78.0315x180.588
ID:1192 BoundingBox:(620.807,521.473) - 83.8286x200.07
ID:1184 BoundingBox:(1402.81,533.044) - 108.833x277.261
ID:1191 BoundingBox:(396.93,523.757) - 81.1009x185.073
ID:1192 BoundingBox:(605.527,534.187) - 84.1245x201.155
ID:1193 BoundingBox:(490.52,525.12) - 111.816x188.152
ID:1184 BoundingBox:(1404.4,536.867) - 106.597x273.713
ID:1191 BoundingBox:(380.264,531.748) - 78.4389x186.732
ID:1192 BoundingBox:(593.068,540.017) - 87.0013x202.425
ID:1193 BoundingBox:(525.545,533.031) - 98.2299x183.805
ID:1197 BoundingBox:(1122.56,476.564) - 68.0942x87.9946
ID:1198 BoundingBox:(75.3759,665.64) - 90.3702x155.437
ID:1184 BoundingBox:(1402.24,540.627) - 101.414x276.176
ID:1191 BoundingBox:(373.679,540.826) - 77.5355x185.495
ID:1192 BoundingBox:(582.224,543.968) - 89.3012x196.977
ID:1193 BoundingBox:(524.643,533.658) - 91.758x184.616
ID:1198 BoundingBox:(79.8015,661) - 85.0272x136.583
ID:1199 BoundingBox:(209.567,508.347) - 74.377x257.838
ID:1184 BoundingBox:(1389.59,538.352) - 98.5857x274.127
ID:1191 BoundingBox:(366.9,536.474) - 79.0649x183.831
ID:1192 BoundingBox:(577.258,540.082) - 92.053x200.317
ID:1197 BoundingBox:(1118.6,471.253) - 67.5469x89.2857
ID:1198 BoundingBox:(56.4013,679.081) - 90.8006x159.915
ID:1184 BoundingBox:(1373.95,546.08) - 96.421x270.569
ID:1191 BoundingBox:(347.806,539.142) - 77.2027x180.872
ID:1192 BoundingBox:(559.385,540.637) - 90.5557x200.455
ID:1197 BoundingBox:(1115.73,486.156) - 65.7525x97.5206
ID:1198 BoundingBox:(44.7877,687.116) - 84.5669x148.354
ID:1184 BoundingBox:(1362.43,549.95) - 93.8761x269.878
ID:1191 BoundingBox:(320.045,544.509) - 76.2515x180.034
ID:1192 BoundingBox:(536.581,547.37) - 90.4139x208.645
ID:1193 BoundingBox:(492.719,551.959) - 86.6969x184.222
ID:1184 BoundingBox:(1356.55,556.646) - 93.0292x273.696
ID:1191 BoundingBox:(298.352,539.377) - 72.6106x179.965
ID:1192 BoundingBox:(513.961,541.737) - 102.54x217.132
ID:1184 BoundingBox:(1343.54,552.391) - 89.087x271.37
ID:1191 BoundingBox:(268.949,540.559) - 71.1482x179.661
ID:1192 BoundingBox:(487.884,545.825) - 106.063x223.229
ID:1184 BoundingBox:(1330.79,557.445) - 85.0516x274.457
ID:1191 BoundingBox:(252.587,550.432) - 75.7186x192.492
ID:1192 BoundingBox:(468.007,550.543) - 102.716x224.489
ID:1200 BoundingBox:(1259.15,541.366) - 82.76x182.491
ID:1201 BoundingBox:(1019.28,488.539) - 49.249x95.322
ID:1202 BoundingBox:(347.602,539.725) - 65.41x165.919
ID:1184 BoundingBox:(1322.69,558.103) - 83.842x279.291
ID:1191 BoundingBox:(233.205,549.64) - 75.393x196.095
ID:1192 BoundingBox:(448.843,549.598) - 93.8827x225.442
ID:1200 BoundingBox:(1244.32,537.97) - 72.2639x178.365
ID:1201 BoundingBox:(1008.68,490.205) - 55.2421x104.725
ID:1202 BoundingBox:(328.248,548.068) - 70.2097x188.428
ID:1203 BoundingBox:(376.05,523.727) - 70.442x187.941
ID:1184 BoundingBox:(1308.85,569.62) - 84.5384x292.929
ID:1191 BoundingBox:(220.923,542.924) - 77.9128x202.532
ID:1192 BoundingBox:(418.231,541.076) - 100.504x230.754
ID:1200 BoundingBox:(1224.88,543.691) - 73.2662x186.024
ID:1201 BoundingBox:(986.45,496.111) - 61.9567x114.456
ID:1204 BoundingBox:(1890.29,529.412) - 49.77x199.204
