ID:155 BoundingBox:(231.607,211.941) - 41.0522x144.783
ID:162 BoundingBox:(308.071,214.277) - 55.0405x170.651
ID:167 BoundingBox:(461.85,223.416) - 51.8947x134.74
ID:174 BoundingBox:(554.882,229.411) - 24.114x44.981
ID:155 BoundingBox:(236.453,227.41) - 39.4756x136.192
ID:162 BoundingBox:(318.083,232.076) - 55.1592x172.87
ID:167 BoundingBox:(465.84,233.301) - 46.7839x118.015
ID:155 BoundingBox:(238.173,235.619) - 38.2133x130.15
ID:162 BoundingBox:(324.212,238.775) - 54.052x175.641
ID:167 BoundingBox:(466.929,237.851) - 42.1031x106.546
ID:155 BoundingBox:(238.762,239.714) - 37.3447x124.514
ID:162 BoundingBox:(328.931,242.498) - 57.7245x181.227
ID:167 BoundingBox:(465.898,240.456) - 37.93x95.0879
ID:174 BoundingBox:(595.336,229.161) - 20.5706x36.5333
ID:155 BoundingBox:(237.922,241.232) - 37.1861x124.11
ID:162 BoundingBox:(333.568,242.383) - 59.0806x183.318
ID:167 BoundingBox:(463.654,241.818) - 34.647x84.1831
ID:155 BoundingBox:(237.457,240.982) - 37.4379x119.296
ID:162 BoundingBox:(339.777,240.631) - 63.4159x188.87
ID:167 BoundingBox:(463.492,243.322) - 31.6758x76.1875
ID:155 BoundingBox:(236.419,239.178) - 37.9809x118.368
ID:162 BoundingBox:(341.798,242.056) - 68.6847x193.547
ID:167 BoundingBox:(465.385,249.788) - 32.6046x73.2422
ID:155 BoundingBox:(235.301,238.097) - 38.9155x119.584
ID:162 BoundingBox:(348.987,242.999) - 72.1882x201.335
ID:167 BoundingBox:(466.788,254.1) - 32.9352x70.2729
ID:175 BoundingBox:(593.714,227.607) - 15.467x23.889
ID:155 BoundingBox:(234.088,240.218) - 39.0254x116.311
ID:162 BoundingBox:(351.885,243.439) - 74.2687x198.95
ID:167 BoundingBox:(464.311,251.26) - 30.3242x66.5077
ID:175 BoundingBox:(592.837,228.269) - 15.7606x23.378
ID:155 BoundingBox:(236.836,240.361) - 37.7236x118.369
ID:162 BoundingBox:(358.739,247.83) - 77.2688x201.098
ID:167 BoundingBox:(464.971,250.413) - 28.8306x63.1447
ID:175 BoundingBox:(594.166,227.478) - 16.8301x24.2478
ID:155 BoundingBox:(237.785,243.109) - 39.6971x122.535
ID:162 BoundingBox:(367.342,250.01) - 80.5056x208.267
ID:167 BoundingBox:(466.423,248.668) - 29.3134x61.6822
ID:155 BoundingBox:(239.66,246.298) - 40.3228x128.303
ID:162 BoundingBox:(375.63,246.885) - 83.0697x214.494
ID:167 BoundingBox:(466.534,251.022) - 29.297x61.937
ID:175 BoundingBox:(601.62,238.092) - 20.1584x29.2016
ID:155 BoundingBox:(237.021,248.59) - 39.9136x131.69
ID:162 BoundingBox:(384.946,245.6) - 84.5104x219.56
