ID:623 BoundingBox:(178.584,245.184) - 47.1433x139.416
ID:627 BoundingBox:(49.6295,219.564) - 87.5607x168.41
ID:623 BoundingBox:(164.239,244.666) - 52.7756x154.127
ID:627 BoundingBox:(52.1862,243.679) - 84.8757x177.968
ID:615 BoundingBox:(266.63,234.499) - 39.4917x93.6097
ID:623 BoundingBox:(161.193,239.921) - 64.2404x162.388
ID:627 BoundingBox:(54.3869,249.641) - 83.989x180.154
ID:615 BoundingBox:(272.201,230.394) - 41.4683x78.9957
ID:623 BoundingBox:(161.618,244.65) - 68.1533x171.906
ID:627 BoundingBox:(56.8964,252.327) - 82.4909x188.578
ID:628 BoundingBox:(254.675,229.154) - 24.501x58.035
ID:615 BoundingBox:(288.365,228.876) - 39.8329x69.0675
ID:623 BoundingBox:(169.71,252.297) - 67.2842x182.028
ID:627 BoundingBox:(63.092,258.577) - 80.8973x196.239
ID:628 BoundingBox:(269.61,232.518) - 26.3734x62.4995
ID:615 BoundingBox:(272.133,227.795) - 35.1286x66.0317
ID:623 BoundingBox:(180.185,248.867) - 65.5107x188.371
ID:627 BoundingBox:(66.9433,256.248) - 77.6542x199.612
ID:628 BoundingBox:(279.989,230.008) - 27.2049x61.9263
ID:629 BoundingBox:(247.744,233.507) - 20.195x64.414
ID:615 BoundingBox:(321.695,226.745) - 36.4424x61.0783
ID:623 BoundingBox:(183.268,246.818) - 68.1282x188.066
ID:627 BoundingBox:(72.4032,255.013) - 77.15x204.049
ID:628 BoundingBox:(284.57,230.642) - 27.4321x62.8481
ID:629 BoundingBox:(246.212,230.977) - 21.4999x60.7096
ID:615 BoundingBox:(362.252,224.83) - 35.2111x60.6856
ID:623 BoundingBox:(190.586,250.503) - 67.4573x191.673
ID:627 BoundingBox:(76.4826,253.875) - 78.9097x208.206
ID:628 BoundingBox:(292.755,231.073) - 26.8424x63.67
ID:629 BoundingBox:(248.902,233.208) - 22.0524x62.4942
ID:615 BoundingBox:(390.294,224.242) - 34.4157x60.026
ID:623 BoundingBox:(194.136,249.844) - 70.8436x197.039
ID:627 BoundingBox:(78.6132,248.713) - 78.7946x207.42
ID:628 BoundingBox:(304.009,230.829) - 25.9522x62.9485
ID:629 BoundingBox:(257.819,234.484) - 22.2448x63.049
ID:630 BoundingBox:(274.757,231.354) - 21.435x65.166
ID:623 BoundingBox:(203.162,250.362) - 72.5847x200.296
ID:627 BoundingBox:(87.9917,256.98) - 76.8712x209.675
ID:628 BoundingBox:(311.197,232.879) - 25.9821x62.3862
ID:629 BoundingBox:(259.83,233.205) - 21.72x65.3868
ID:630 BoundingBox:(272.094,230.547) - 21.7509x65.1679
ID:631 BoundingBox:(290.117,231.137) - 21.092x65.711
ID:623 BoundingBox:(209.747,248.895) - 80.0661x205.141
ID:627 BoundingBox:(96.5111,252.812) - 77.1387x210.278
ID:628 BoundingBox:(316.616,232.463) - 25.4947x62.3338
ID:630 BoundingBox:(273.986,231.479) - 21.1367x61.6294
ID:631 BoundingBox:(295.022,226.93) - 22.2368x62.1149
ID:623 BoundingBox:(218.962,251.504) - 85.6423x213.012
ID:627 BoundingBox:(100.22,253.39) - 79.3681x214.111
ID:628 BoundingBox:(330.29,232.055) - 25.6364x61.9031
ID:629 BoundingBox:(279.546,235.214) - 23.3083x69.376
ID:630 BoundingBox:(292.393,234.119) - 20.3357x60.8083
ID:631 BoundingBox:(314.029,231.962) - 22.4179x61.0368
ID:623 BoundingBox:(223.465,252.421) - 85.0921x214.654
ID:627 BoundingBox:(108.732,257.422) - 78.7586x214.684
ID:628 BoundingBox:(341.47,229.096) - 27.23x60.8702
ID:629 BoundingBox:(288.462,237.686) - 24.6909x67.8045
ID:630 BoundingBox:(309.871,234.209) - 20.6241x61.8871
ID:631 BoundingBox:(328.742,237.703) - 23.4208x59.6953
ID:623 BoundingBox:(239.094,254.183) - 82.3701x219.189
ID:627 BoundingBox:(117.435,259.861) - 78.0138x215.068
ID:628 BoundingBox:(349.259,230.724) - 27.3633x60.3042
ID:629 BoundingBox:(295.215,232.998) - 24.4412x70.6664
