ID:527 BoundingBox:(305.901,248.387) - 28.3933x70.6502
ID:528 BoundingBox:(265.917,244.13) - 35.0517x88.5805
ID:529 BoundingBox:(206.18,248.725) - 31.5777x77.7665
ID:534 BoundingBox:(78.0296,258.804) - 48.4288x130.772
ID:535 BoundingBox:(607.749,260.137) - 41.534x131.626
ID:527 BoundingBox:(311.141,251.5) - 33.2553x85.3948
ID:528 BoundingBox:(277.184,249.76) - 39.6485x99.9141
ID:529 BoundingBox:(197.858,252.306) - 32.4915x84.6516
ID:534 BoundingBox:(73.9732,262.646) - 49.7231x133.963
ID:535 BoundingBox:(618.488,251.923) - 39.9536x127.193
ID:536 BoundingBox:(226.739,253.649) - 24.665x66.867
ID:527 BoundingBox:(313.399,252.141) - 36.7059x98.3832
ID:528 BoundingBox:(280.734,249.19) - 41.9801x109.953
ID:529 BoundingBox:(191.441,251.767) - 34.1686x92.3643
ID:534 BoundingBox:(70.6304,269.114) - 53.078x140.388
ID:535 BoundingBox:(621.834,255.87) - 38.0989x128.065
ID:536 BoundingBox:(233.375,248.36) - 23.9106x61.9637
ID:527 BoundingBox:(316.365,251.013) - 38.6014x104.387
ID:528 BoundingBox:(282.499,246.692) - 42.8737x112.345
ID:529 BoundingBox:(187.179,253.743) - 37.0967x100.033
ID:534 BoundingBox:(61.8023,266.597) - 56.1497x143.555
ID:536 BoundingBox:(230.333,251.247) - 25.9389x65.3035
ID:527 BoundingBox:(318.303,251.894) - 40.4471x107.827
ID:528 BoundingBox:(278.485,246.394) - 45.6887x110.883
ID:529 BoundingBox:(183.652,253.22) - 37.7373x103.982
ID:534 BoundingBox:(59.6316,264.145) - 58.5053x149.605
ID:536 BoundingBox:(229.454,250.674) - 27.9017x69.1104
ID:527 BoundingBox:(320.614,249.415) - 39.4447x108.394
ID:528 BoundingBox:(279.718,248.158) - 46.9992x113.288
ID:529 BoundingBox:(181.563,252.196) - 38.4264x109.135
ID:534 BoundingBox:(52.7815,263.794) - 59.9665x154.186
ID:536 BoundingBox:(229.03,250.685) - 28.8451x70.5041
ID:537 BoundingBox:(73.6229,287.815) - 35.6548x89.313
ID:527 BoundingBox:(324.204,254.316) - 40.4097x111.226
ID:528 BoundingBox:(284.118,249.346) - 47.3908x113.955
ID:529 BoundingBox:(180.742,254.404) - 38.1045x113.485
ID:534 BoundingBox:(45.5029,261.907) - 60.7155x155.629
ID:536 BoundingBox:(228.654,248.247) - 29.14x67.5602
ID:527 BoundingBox:(328.799,256.12) - 40.3375x109.798
ID:528 BoundingBox:(285.924,251.431) - 49.3334x116.172
ID:529 BoundingBox:(177.129,253.81) - 38.5161x113.355
ID:534 BoundingBox:(37.4985,256.724) - 62.7536x166.824
ID:536 BoundingBox:(225.707,251.636) - 27.9067x66.1763
ID:527 BoundingBox:(329.31,254.322) - 40.4558x111.506
ID:528 BoundingBox:(288.565,253.134) - 49.9369x117.221
ID:529 BoundingBox:(174.785,257.563) - 39.4419x116.99
ID:534 BoundingBox:(33.331,260.637) - 66.5246x180.517
ID:536 BoundingBox:(223.647,253.397) - 27.0174x66.4561
ID:527 BoundingBox:(329.615,256.676) - 41.2071x117.808
ID:528 BoundingBox:(290.889,249.223) - 51.033x117.173
ID:529 BoundingBox:(172.211,257.89) - 41.345x121.105
ID:534 BoundingBox:(24.9321,267.672) - 61.3973x182.862
ID:536 BoundingBox:(223.011,251.183) - 25.9902x66.6263
ID:527 BoundingBox:(329.236,255.274) - 41.6662x117.469
ID:528 BoundingBox:(287.183,239.571) - 48.5477x114.354
ID:529 BoundingBox:(171.807,256.957) - 42.6705x123.056
ID:534 BoundingBox:(30.2457,265.709) - 55.8047x157.964
ID:536 BoundingBox:(223.148,252.267) - 25.8342x69.7424
ID:538 BoundingBox:(251.119,257.375) - 27.886x77.403
ID:527 BoundingBox:(330.393,255.771) - 41.365x116.837
ID:528 BoundingBox:(289.202,245.583) - 48.6699x115.995
ID:529 BoundingBox:(163.97,257.618) - 44.4791x126.141
ID:534 BoundingBox:(24.6238,256.351) - 53.1528x151.632
ID:536 BoundingBox:(220.523,255.35) - 26.5723x71.0327
ID:538 BoundingBox:(248.495,254.178) - 26.7518x73.8046
ID:527 BoundingBox:(333.295,256.462) - 41.8445x118.883
ID:528 BoundingBox:(291.502,248.815) - 48.0158x120.407
ID:529 BoundingBox:(160.918,256.885) - 47.2682x134.717
ID:536 BoundingBox:(218.453,256.152) - 26.3264x69.4105
ID:538 BoundingBox:(249.323,260.43) - 26.1589x70.4563
ID:539 BoundingBox:(386.247,252.272) - 27.968x59.726
ID:527 BoundingBox:(335.622,253.606) - 41.9177x117.561
ID:528 BoundingBox:(292.78,249.993) - 46.8558x124.894
ID:529 BoundingBox:(155.683,255.334) - 51.8831x135.581
ID:536 BoundingBox:(219.285,252.337) - 26.1117x68.5499
ID:538 BoundingBox:(248.204,254.02) - 27.7324x74.1449
ID:527 BoundingBox:(336.228,251.201) - 42.0486x117.902
ID:528 BoundingBox:(294.986,247.948) - 45.5063x128.433
ID:529 BoundingBox:(148.424,258.497) - 53.5574x139.484
ID:536 BoundingBox:(216.566,249.276) - 25.8497x68.8709
ID:538 BoundingBox:(249.393,250.985) - 29.9837x79.2487
ID:539 BoundingBox:(385.61,254.351) - 26.591x57.6232
ID:527 BoundingBox:(336.757,255.082) - 40.9319x121.718
ID:528 BoundingBox:(297.356,248.471) - 44.4447x126.433
ID:529 BoundingBox:(141.258,261.544) - 51.5687x142.66
ID:536 BoundingBox:(214.749,248.848) - 25.9159x71.3448
ID:538 BoundingBox:(249.822,256.901) - 30.8826x81.5608
ID:540 BoundingBox:(162.16,251.77) - 38.294x143.68
ID:527 BoundingBox:(337.343,256.62) - 41.1593x125.738
ID:528 BoundingBox:(296.524,252.215) - 43.6035x128.986
ID:529 BoundingBox:(136.356,259.225) - 52.3023x145.837
ID:536 BoundingBox:(211.385,248.457) - 25.9593x72.9094
ID:538 BoundingBox:(249.417,256.045) - 32.8579x86.1539
ID:539 BoundingBox:(384.534,254.646) - 26.7569x59.1321
ID:527 BoundingBox:(337.255,254.31) - 40.6442x125.782
ID:528 BoundingBox:(294.66,252.072) - 44.1801x128.708
ID:529 BoundingBox:(117.999,262.303) - 50.9852x146.923
ID:536 BoundingBox:(208.419,248.888) - 26.158x73.9448
ID:538 BoundingBox:(247.329,256.546) - 33.9877x88.0546
ID:539 BoundingBox:(383.608,251.335) - 27.4583x58.7594
ID:540 BoundingBox:(132.23,222.398) - 41.3573x117.8
ID:541 BoundingBox:(145.422,286.341) - 29.419x94.621
ID:527 BoundingBox:(336.943,251.244) - 39.5937x125.303
ID:528 BoundingBox:(293.866,254.58) - 43.818x129.038
ID:529 BoundingBox:(117.522,259.257) - 54.2832x154.931
ID:536 BoundingBox:(206.047,249.489) - 25.8152x73.4479
ID:538 BoundingBox:(244.57,254.902) - 34.1053x87.1023
ID:539 BoundingBox:(382.42,249.533) - 28.2067x59.4034
ID:527 BoundingBox:(339.489,252.938) - 40.3774x128.465
ID:528 BoundingBox:(295.473,250.327) - 44.7267x128.403
ID:529 BoundingBox:(112.079,258.984) - 56.6507x165.477
ID:536 BoundingBox:(203.076,253.712) - 26.4995x76.7272
ID:538 BoundingBox:(241.763,256.309) - 35.6158x87.7776
ID:539 BoundingBox:(385.039,253.165) - 28.1884x58.662
ID:527 BoundingBox:(339.026,253.435) - 40.7866x129.188
ID:528 BoundingBox:(296.416,248.959) - 44.6557x130.253
ID:529 BoundingBox:(111.314,255.835) - 55.7397x168.426
ID:536 BoundingBox:(199.98,253.396) - 25.4024x76.5845
ID:538 BoundingBox:(238.599,258.737) - 36.5801x87.799
ID:539 BoundingBox:(386.647,251.445) - 27.7078x58.7818
ID:527 BoundingBox:(339.898,248.951) - 41.0445x126.421
ID:528 BoundingBox:(295.734,249.652) - 43.8151x132.17
ID:529 BoundingBox:(106.095,250.148) - 56.4829x175.418
ID:536 BoundingBox:(199.087,253.946) - 24.8194x76.7058
ID:538 BoundingBox:(236.907,255.69) - 35.8571x85.3556
ID:539 BoundingBox:(387.167,250.746) - 26.7735x59.2043
ID:527 BoundingBox:(341.025,247.089) - 41.8562x126.911
ID:528 BoundingBox:(296.307,252.852) - 43.1015x134.883
ID:529 BoundingBox:(96.8735,251.952) - 64.3573x187.381
ID:536 BoundingBox:(196.029,252.372) - 26.1376x80.9693
ID:538 BoundingBox:(234.449,259.674) - 35.2143x83.9302
ID:527 BoundingBox:(341.573,248.465) - 41.0975x126.172
ID:528 BoundingBox:(293.344,250.006) - 44.4705x135.27
ID:529 BoundingBox:(86.9846,253.08) - 67.4993x192.304
ID:536 BoundingBox:(192.733,248.934) - 27.4503x84.5114
ID:538 BoundingBox:(237.698,256.012) - 35.7289x86.9796
ID:539 BoundingBox:(387.311,246.029) - 26.3123x59.1413
ID:527 BoundingBox:(343.394,247.454) - 40.7744x128.194
ID:528 BoundingBox:(296.668,250.788) - 45.1513x131.406
ID:529 BoundingBox:(78.2864,255.657) - 77.0606x206.428
