ID:896 BoundingBox:(764.965,180.123) - 32.441x55.121
ID:896 BoundingBox:(764.552,179.953) - 33.5738x55.1723
ID:896 BoundingBox:(766.588,178.948) - 35.9016x58.8448
ID:896 BoundingBox:(766.02,179.024) - 34.0034x54.3733
ID:896 BoundingBox:(767.663,181.762) - 32.8308x53.8745
ID:896 BoundingBox:(769.722,181.952) - 33.275x53.7675
ID:897 BoundingBox:(793.317,190.56) - 39.325x57.74
ID:896 BoundingBox:(774.106,180.061) - 32.5084x53.916
ID:897 BoundingBox:(790.287,192.088) - 32.8588x50.4658
ID:896 BoundingBox:(783.142,184.585) - 32.7796x55.0352
ID:898 BoundingBox:(173.566,232.205) - 42.302x80.74
ID:899 BoundingBox:(719.788,176.772) - 24.891x65.596
ID:896 BoundingBox:(789.352,186.436) - 35.0216x60.289
ID:897 BoundingBox:(819.361,190.588) - 36.7603x60.4176
ID:899 BoundingBox:(724.691,170.852) - 25.3032x63.2545
ID:897 BoundingBox:(817.982,185.943) - 35.8496x60.6153
ID:897 BoundingBox:(819.819,181.112) - 36.2812x53.7509
ID:898 BoundingBox:(179.866,195.918) - 42.5582x86.8431
ID:900 BoundingBox:(90.4957,239.423) - 45.4466x73.471
ID:896 BoundingBox:(813.53,194.917) - 39.5002x68.0981
ID:897 BoundingBox:(833.448,184.782) - 35.418x52.671
ID:896 BoundingBox:(823.823,202.517) - 38.8687x73.0913
ID:898 BoundingBox:(160.14,193.308) - 42.1817x86.8929
ID:896 BoundingBox:(831.954,203.419) - 40.6584x80.0829
ID:898 BoundingBox:(142.867,184.201) - 39.4289x85.5047
ID:901 BoundingBox:(761.98,190.712) - 31.764x73.961
ID:902 BoundingBox:(381.942,174.59) - 32.465x79.015
ID:896 BoundingBox:(872.948,209.994) - 39.8038x76.7209
ID:897 BoundingBox:(860.484,206.264) - 34.6503x57.3587
ID:896 BoundingBox:(888.042,209.461) - 42.3762x75.2839
ID:897 BoundingBox:(867.338,206.525) - 35.6102x60.8996
ID:901 BoundingBox:(760.281,194.949) - 34.4805x71.8417
ID:903 BoundingBox:(913.147,212.221) - 32.736x70.255
ID:897 BoundingBox:(878.517,205.264) - 36.3131x64.1081
ID:903 BoundingBox:(928.265,197.996) - 39.4055x82.7932
ID:896 BoundingBox:(911.684,210.856) - 41.5538x80.2774
ID:897 BoundingBox:(890.309,199.066) - 42.8782x74.6454
ID:903 BoundingBox:(944.737,201.81) - 39.2141x85.5927
ID:896 BoundingBox:(923.878,215.318) - 41.5452x84.7878
ID:903 BoundingBox:(965.322,211.823) - 37.0033x85.7196
ID:904 BoundingBox:(31.5716,190.362) - 34.3745x77.745
ID:896 BoundingBox:(938.616,209.415) - 42.0271x92.2611
ID:903 BoundingBox:(991.21,209.479) - 44.698x95.1282
ID:896 BoundingBox:(957.149,214.446) - 43.7747x95.3737
ID:903 BoundingBox:(1018.71,219.751) - 48.1078x107.747
ID:896 BoundingBox:(990.658,223.475) - 52.2684x103.469
ID:903 BoundingBox:(1058.08,226.48) - 52.3734x121.417
ID:896 BoundingBox:(1023.86,222.939) - 63.3981x119.171
ID:903 BoundingBox:(1092.37,229.856) - 57.6075x139.691
ID:896 BoundingBox:(1061.9,223.765) - 62.2033x126.659
ID:903 BoundingBox:(1135.59,234.173) - 61.2589x149.909
ID:896 BoundingBox:(1117.68,226.727) - 67.3678x145.112
