ID:1 BoundingBox:(671.649,274.567) - 44.417x86.13
ID:2 BoundingBox:(270.69,256.053) - 35.813x96.641
ID:3 BoundingBox:(515.965,194.386) - 33.338x76.362
ID:1 BoundingBox:(656.209,284.741) - 42.904x79.9813
ID:2 BoundingBox:(273.542,264.012) - 39.0912x90.4558
ID:3 BoundingBox:(513.944,193.4) - 31.8969x76.4712
ID:1 BoundingBox:(642.284,287.43) - 37.067x72.4397
ID:2 BoundingBox:(278.894,260.784) - 42.0442x90.5535
ID:3 BoundingBox:(512.777,196.88) - 31.5825x77.0854
ID:1 BoundingBox:(631.816,281.897) - 38.4525x73.8507
ID:2 BoundingBox:(290.499,260.316) - 40.2959x91.3614
ID:3 BoundingBox:(508.546,197.192) - 33.2347x78.6579
ID:1 BoundingBox:(624.895,282.252) - 44.7999x80.0573
ID:2 BoundingBox:(301.371,251.936) - 39.3858x94.4667
ID:3 BoundingBox:(504.793,199.672) - 35.7417x84.1425
ID:1 BoundingBox:(619.521,282.001) - 46.5112x85.3469
ID:2 BoundingBox:(300.44,247.418) - 38.3106x92.1475
ID:3 BoundingBox:(501.755,198.631) - 35.0403x80.6214
ID:1 BoundingBox:(608.186,280.367) - 42.3968x81.66
ID:2 BoundingBox:(307.462,252.093) - 39.011x92.2632
ID:3 BoundingBox:(498.911,200.934) - 43.3374x86.8415
ID:1 BoundingBox:(597.279,280.426) - 41.4567x80.8874
ID:2 BoundingBox:(316.373,251.357) - 39.9504x92.2698
ID:3 BoundingBox:(495.217,202.978) - 40.2064x82.6184
ID:1 BoundingBox:(588.423,279.01) - 39.9418x81.0684
ID:2 BoundingBox:(314.708,248.094) - 40.904x91.2657
ID:3 BoundingBox:(487.636,201.316) - 37.5076x80.8662
ID:1 BoundingBox:(584.115,278.285) - 47.5567x85.4606
ID:2 BoundingBox:(320.435,251.161) - 40.6174x90.8972
ID:3 BoundingBox:(486.593,202.223) - 37.826x79.0986
ID:1 BoundingBox:(567.382,278.566) - 44.3853x83.4071
ID:2 BoundingBox:(327.827,250.151) - 46.9363x97.7811
ID:3 BoundingBox:(484.6,204.93) - 37.4573x77.7988
ID:1 BoundingBox:(554.714,279.319) - 42.3526x81.3776
ID:2 BoundingBox:(336.816,247.951) - 49.7724x94.6543
ID:3 BoundingBox:(477.733,207.178) - 36.6089x77.6064
ID:4 BoundingBox:(752.578,348.342) - 28.844x137.512
ID:1 BoundingBox:(544.376,279.613) - 45.7037x83.866
ID:2 BoundingBox:(345.972,244.228) - 47.8292x91.4167
ID:3 BoundingBox:(475.171,209.792) - 35.6559x76.9921
ID:4 BoundingBox:(751.116,346.905) - 30.6681x139.836
ID:1 BoundingBox:(534.411,276.935) - 45.8717x83.3392
ID:2 BoundingBox:(350.2,240.187) - 43.0341x85.8959
ID:3 BoundingBox:(469.025,213.397) - 34.5619x78.29
ID:4 BoundingBox:(743.201,350.198) - 39.8405x141.496
ID:1 BoundingBox:(524.344,275.987) - 42.0468x81.9282
ID:2 BoundingBox:(352.841,237.844) - 41.9992x83.7021
ID:3 BoundingBox:(461.664,211.153) - 34.1424x78.1094
ID:4 BoundingBox:(742.488,347.199) - 42.5786x130.81
ID:1 BoundingBox:(510.601,271.369) - 38.2833x78.9504
ID:2 BoundingBox:(358.777,238.085) - 41.0733x82.7303
ID:3 BoundingBox:(454.08,208.994) - 34.7652x79.3476
ID:4 BoundingBox:(738.506,342.03) - 49.0944x133.588
ID:1 BoundingBox:(505.354,278.069) - 41.0254x82.723
ID:2 BoundingBox:(361.442,244.875) - 42.8664x86.6785
ID:3 BoundingBox:(449.641,209.229) - 37.0624x78.9293
ID:4 BoundingBox:(735.919,337.379) - 51.0943x133.267
ID:1 BoundingBox:(488.895,273.097) - 40.0906x80.1965
ID:2 BoundingBox:(369.082,234.122) - 44.6411x95.0145
ID:3 BoundingBox:(444.396,207.207) - 36.7668x73.8031
ID:4 BoundingBox:(727.666,330.346) - 48.7867x124.227
ID:5 BoundingBox:(746.553,328.706) - 30.909x102.352
ID:1 BoundingBox:(478.349,275.595) - 39.8557x79.8551
ID:2 BoundingBox:(371.75,234.186) - 43.8195x91.8712
ID:4 BoundingBox:(723.793,331.517) - 48.9227x117.726
ID:5 BoundingBox:(752.018,323.308) - 29.3124x96.6411
ID:1 BoundingBox:(470.978,273.755) - 40.0264x81.3159
ID:2 BoundingBox:(375.874,231.936) - 45.9927x86.9761
ID:4 BoundingBox:(714.374,325.74) - 45.9818x112.75
ID:5 BoundingBox:(746.452,328.954) - 37.5774x109.716
ID:1 BoundingBox:(459.288,271.792) - 39.0514x80.3044
ID:2 BoundingBox:(377.775,233.939) - 47.0891x87.6254
ID:4 BoundingBox:(706.93,317.674) - 46.1976x112.742
