ID:115 BoundingBox:(461.953,313.695) - 81.5119x173.439
ID:128 BoundingBox:(233.906,257.611) - 39.4361x90.8104
ID:131 BoundingBox:(190.011,269.43) - 45.9269x114.788
ID:132 BoundingBox:(349.669,261.376) - 61.9054x123.15
ID:133 BoundingBox:(103.466,292.178) - 93.5572x295.907
ID:134 BoundingBox:(157.353,278.104) - 41.27x176.146
ID:115 BoundingBox:(471.672,305.793) - 101.299x205.129
ID:128 BoundingBox:(233.072,272.231) - 39.4789x101.328
ID:131 BoundingBox:(190.435,287.209) - 48.4781x122.014
ID:132 BoundingBox:(325.761,285.864) - 74.2946x151.624
ID:133 BoundingBox:(105.856,296.374) - 97.3687x304.306
ID:134 BoundingBox:(166.936,284.005) - 39.2919x164.017
ID:115 BoundingBox:(477.637,298.34) - 108.035x223.728
ID:128 BoundingBox:(234.857,272.89) - 42.0237x115.217
ID:131 BoundingBox:(194.2,289.582) - 50.9713x130.279
ID:132 BoundingBox:(310.42,288.307) - 76.6024x168.516
ID:133 BoundingBox:(117.337,299.187) - 102.36x300.57
ID:134 BoundingBox:(167.414,280.436) - 45.4194x174.147
ID:115 BoundingBox:(484.921,298.484) - 114.799x238.417
ID:128 BoundingBox:(239.639,277.587) - 41.2371x120.146
ID:131 BoundingBox:(198.624,289.278) - 53.1997x139.404
ID:132 BoundingBox:(303.415,295.436) - 79.3478x181.201
ID:133 BoundingBox:(124.46,301.119) - 114.18x313.359
ID:134 BoundingBox:(174.121,278.75) - 41.5108x158.393
ID:115 BoundingBox:(494.8,297.153) - 118.373x249.86
ID:128 BoundingBox:(245.258,280.398) - 41.9414x124.733
ID:131 BoundingBox:(203.793,290.3) - 54.5371x143.881
ID:132 BoundingBox:(298.513,291.565) - 78.9782x187.83
ID:133 BoundingBox:(141.465,293.996) - 133.083x311.359
ID:134 BoundingBox:(150.884,258.565) - 53.9541x180.613
ID:115 BoundingBox:(497.418,298.65) - 115.744x251.05
ID:128 BoundingBox:(251.55,278.991) - 41.7271x130.422
ID:131 BoundingBox:(203.419,291.437) - 54.9438x145.533
ID:132 BoundingBox:(288.591,287.491) - 74.7584x194.057
ID:133 BoundingBox:(148.202,301.644) - 145.773x310.081
ID:134 BoundingBox:(144.379,248.044) - 59.2166x177.717
ID:135 BoundingBox:(81.3286,239.565) - 29.3487x49.62
ID:136 BoundingBox:(209.272,237.219) - 35.481x68.687
ID:115 BoundingBox:(503.746,298.487) - 114.418x256.794
ID:131 BoundingBox:(208.46,295.145) - 55.0342x139.266
ID:132 BoundingBox:(278.78,285.013) - 74.682x193.3
ID:133 BoundingBox:(158.639,299.955) - 158.594x312.633
ID:134 BoundingBox:(148.746,250.661) - 65.2625x184.087
ID:135 BoundingBox:(81.8446,236.147) - 29.7235x48.023
ID:115 BoundingBox:(510.646,302.343) - 108.104x261.812
ID:131 BoundingBox:(217.825,292.791) - 52.6515x141.167
ID:132 BoundingBox:(274.442,285.011) - 72.3028x201.295
ID:133 BoundingBox:(176.438,301.664) - 145.1x303.746
ID:115 BoundingBox:(515.354,295.575) - 102.684x263.744
ID:131 BoundingBox:(221.548,289.12) - 46.4931x138.14
ID:132 BoundingBox:(272.059,285.034) - 72.1914x207.794
ID:134 BoundingBox:(166.932,279.71) - 71.3434x216.669
ID:115 BoundingBox:(526.757,296.545) - 96.2986x266.301
ID:131 BoundingBox:(223.214,288.079) - 43.0369x142.529
ID:132 BoundingBox:(267.702,286.659) - 75.7866x211.669
ID:134 BoundingBox:(171.634,277.44) - 71.5847x216.565
ID:115 BoundingBox:(532.303,292.487) - 95.8378x270.973
ID:132 BoundingBox:(263.071,290.237) - 81.0169x208.549
ID:133 BoundingBox:(199.103,313.845) - 130.433x293.312
ID:115 BoundingBox:(539.617,293.569) - 95.7357x273.309
ID:132 BoundingBox:(260.51,286.383) - 85.5102x208.677
ID:133 BoundingBox:(203.476,302.496) - 116.394x287.564
ID:115 BoundingBox:(548.992,293.014) - 97.394x273.002
ID:131 BoundingBox:(279.225,267.78) - 44.2225x131.38
ID:132 BoundingBox:(258.86,289.093) - 85.9089x205.186
ID:133 BoundingBox:(212.737,299.138) - 112.457x291.068
ID:115 BoundingBox:(554.764,294.553) - 101.533x273.957
ID:131 BoundingBox:(292.495,263.391) - 47.7397x128.567
ID:133 BoundingBox:(226.736,293.153) - 121.431x298.541
ID:115 BoundingBox:(562.085,294.1) - 103.301x272.238
ID:131 BoundingBox:(301.659,269.457) - 48.1338x130.453
ID:133 BoundingBox:(231.683,295.726) - 117.1x297.483
ID:115 BoundingBox:(567.79,297.777) - 106.49x270.17
ID:131 BoundingBox:(307.934,274.896) - 47.831x134.667
ID:133 BoundingBox:(232.273,297.724) - 116.453x299.896
ID:115 BoundingBox:(571.752,301.472) - 108.85x271.346
ID:131 BoundingBox:(314.817,273.699) - 52.372x138.086
ID:133 BoundingBox:(237.837,300.258) - 113.16x298.631
ID:115 BoundingBox:(578.567,297.15) - 106.02x271.9
ID:131 BoundingBox:(320.325,273.366) - 51.6463x138.961
ID:133 BoundingBox:(240.976,307.592) - 117.208x298.441
ID:137 BoundingBox:(200.526,286.246) - 53.406x209.544
ID:138 BoundingBox:(192.844,211.847) - 33.304x57.645
ID:115 BoundingBox:(587.85,294.83) - 104.587x275.159
ID:131 BoundingBox:(320.366,273.987) - 50.8365x140.395
ID:133 BoundingBox:(248.216,307.906) - 117.429x301.262
ID:137 BoundingBox:(200.557,292.953) - 54.142x233.833
ID:115 BoundingBox:(590.197,293.505) - 103.834x272.896
