ID:141 BoundingBox:(470.311,238.348) - 81.1072x191.63
ID:144 BoundingBox:(384.492,237.663) - 100.145x257.45
ID:146 BoundingBox:(600.169,218.666) - 61.5458x152.499
ID:151 BoundingBox:(219.347,212.637) - 75.918x245.934
ID:152 BoundingBox:(128.968,199.324) - 56.321x224.146
ID:153 BoundingBox:(535.718,175.642) - 30.205x124.091
ID:141 BoundingBox:(479.689,218.048) - 78.561x200.522
ID:144 BoundingBox:(393.21,217.761) - 96.7812x254.452
ID:146 BoundingBox:(606.234,192.892) - 63.6255x166.807
ID:151 BoundingBox:(221.316,207.305) - 71.0097x236.217
ID:152 BoundingBox:(126.442,199.336) - 58.0616x230.948
ID:153 BoundingBox:(539.621,170.966) - 34.6425x131.887
ID:154 BoundingBox:(339.894,172.874) - 24.344x96.085
ID:141 BoundingBox:(484.864,201.414) - 79.2726x208.233
ID:144 BoundingBox:(398.287,206.362) - 96.5419x253.402
ID:146 BoundingBox:(606.036,184.045) - 66.7588x176.793
ID:151 BoundingBox:(227.289,202.18) - 78.0182x241.212
ID:152 BoundingBox:(122.291,204.469) - 63.7755x230.121
ID:153 BoundingBox:(534.455,178.524) - 34.5358x133.157
ID:141 BoundingBox:(491.742,199.108) - 79.2451x215.323
ID:144 BoundingBox:(400.875,199.388) - 96.2592x252.42
ID:146 BoundingBox:(606.477,180.549) - 68.2029x182.412
ID:151 BoundingBox:(228.53,200.42) - 76.8184x230.892
ID:152 BoundingBox:(117.441,211.402) - 67.7585x232.515
ID:153 BoundingBox:(531.026,178.82) - 36.446x138.198
ID:141 BoundingBox:(497.507,204.613) - 82.8553x223.157
ID:144 BoundingBox:(405.593,197.705) - 98.751x250.971
ID:146 BoundingBox:(602.789,180.727) - 65.0443x187.251
ID:151 BoundingBox:(231.06,195.777) - 76.1539x225.331
ID:152 BoundingBox:(111.072,208.832) - 71.9069x228.13
ID:153 BoundingBox:(532.224,179.326) - 39.3717x140.098
ID:154 BoundingBox:(333.529,174.411) - 27.5768x101.034
ID:141 BoundingBox:(497.576,200.045) - 86.9096x230.516
ID:144 BoundingBox:(409.325,199.721) - 99.1828x247.312
ID:146 BoundingBox:(601.287,182.591) - 67.8101x193.353
ID:151 BoundingBox:(241.292,198.12) - 75.5664x221.82
ID:152 BoundingBox:(102.733,204.357) - 77.6429x232.829
ID:154 BoundingBox:(336.481,167.155) - 31.1763x113.938
ID:155 BoundingBox:(206.922,172.737) - 40.892x176
ID:141 BoundingBox:(503.283,196.309) - 85.644x234.17
ID:144 BoundingBox:(412.383,200.595) - 97.8243x244.603
ID:146 BoundingBox:(599.461,183.913) - 69.0427x194.654
ID:151 BoundingBox:(248.204,203.02) - 76.1134x215.591
ID:152 BoundingBox:(98.1861,208.597) - 84.005x235.107
ID:155 BoundingBox:(205.379,171.427) - 49.5292x184.946
ID:141 BoundingBox:(508.408,198.422) - 81.4784x236.182
ID:144 BoundingBox:(412.192,196.785) - 96.637x242.25
ID:146 BoundingBox:(597.239,185.722) - 71.3817x195.977
ID:151 BoundingBox:(254.434,207.52) - 82.3414x220.599
ID:152 BoundingBox:(91.6052,213.293) - 85.531x233.713
ID:155 BoundingBox:(201.051,170.576) - 53.1286x188.311
ID:141 BoundingBox:(507.275,197.986) - 83.6075x239.336
ID:144 BoundingBox:(413.3,200.723) - 93.9174x240.959
ID:146 BoundingBox:(596.675,186.813) - 72.726x195.151
ID:151 BoundingBox:(260.438,210.14) - 81.963x216.304
ID:152 BoundingBox:(84.0578,210.134) - 82.3638x228.19
ID:155 BoundingBox:(199.492,172.431) - 51.1467x176.419
ID:141 BoundingBox:(507.954,196.484) - 81.8517x241.164
ID:144 BoundingBox:(417.609,202.1) - 91.7497x242.401
ID:146 BoundingBox:(596.233,184.931) - 75.4896x196.22
ID:151 BoundingBox:(265.485,206.836) - 80.1865x216.293
ID:152 BoundingBox:(78.5626,209.589) - 75.1085x228.318
ID:155 BoundingBox:(200.443,172.799) - 50.8328x173.708
ID:141 BoundingBox:(509.455,199.447) - 81.3304x241.976
ID:144 BoundingBox:(419.922,198.878) - 94.208x240.781
ID:146 BoundingBox:(594.899,184.04) - 76.67x194.793
ID:151 BoundingBox:(269.621,208.601) - 80.4064x214.595
ID:152 BoundingBox:(72.0433,209.609) - 70.1839x223.243
ID:155 BoundingBox:(200.237,174.862) - 52.0101x174.238
ID:141 BoundingBox:(513.334,203.32) - 82.0602x239.935
ID:144 BoundingBox:(422.628,200.523) - 92.7464x240.894
ID:146 BoundingBox:(596.563,182.53) - 75.2072x197.012
ID:151 BoundingBox:(275.024,210.067) - 81.2588x217.986
ID:152 BoundingBox:(62.9484,202.407) - 68.2038x221.697
ID:155 BoundingBox:(198.517,173.198) - 51.3292x170.254
ID:141 BoundingBox:(512.527,202.982) - 81.2794x238.782
ID:144 BoundingBox:(424.568,196.585) - 89.4865x241.376
ID:146 BoundingBox:(594.853,182.479) - 74.3206x197.061
ID:151 BoundingBox:(274.252,202.942) - 82.2757x222.098
ID:152 BoundingBox:(58.551,206.93) - 66.2703x222.284
ID:155 BoundingBox:(201.167,172.862) - 52.2306x172.422
ID:141 BoundingBox:(518.957,202.769) - 85.1837x240.978
ID:144 BoundingBox:(427.842,195.513) - 92.371x244.839
ID:146 BoundingBox:(592.485,183.233) - 72.5933x195.484
ID:151 BoundingBox:(276.269,204.49) - 80.1545x220.316
ID:152 BoundingBox:(57.653,212.277) - 64.9431x221.492
ID:155 BoundingBox:(201.031,171.58) - 50.0085x166.628
ID:141 BoundingBox:(520.16,205.038) - 88.0338x233.188
ID:144 BoundingBox:(433.039,197.669) - 93.0344x242.451
ID:146 BoundingBox:(585.947,186.551) - 72.6554x190.073
ID:151 BoundingBox:(281.619,204.083) - 78.2761x218.017
ID:152 BoundingBox:(50.0514,210.612) - 71.7572x223.545
ID:155 BoundingBox:(199.385,173.372) - 46.7602x161.071
ID:156 BoundingBox:(607.78,171.599) - 34.359x140.463
ID:141 BoundingBox:(523.855,205.079) - 87.4233x231.648
ID:144 BoundingBox:(435.322,201.81) - 93.8729x244.104
ID:146 BoundingBox:(585.943,183.465) - 76.4618x183.673
ID:151 BoundingBox:(284.952,202.555) - 76.263x213.984
ID:152 BoundingBox:(46.8744,208.267) - 69.4596x225.456
ID:155 BoundingBox:(197.998,173.329) - 46.4868x163.027
ID:141 BoundingBox:(523.202,201.836) - 86.7147x231.854
ID:144 BoundingBox:(436.768,201.216) - 96.1903x243.484
ID:146 BoundingBox:(582.043,185.705) - 77.1568x183.555
ID:151 BoundingBox:(288.107,201.593) - 76.1228x211.807
ID:152 BoundingBox:(42.1403,213.496) - 72.1949x226.763
ID:155 BoundingBox:(198.336,171.092) - 47.5193x163.553
ID:141 BoundingBox:(530.334,199.921) - 90.776x232.111
ID:144 BoundingBox:(436.223,204.227) - 94.1869x244.337
ID:146 BoundingBox:(586.141,184.615) - 79.9456x177.396
ID:151 BoundingBox:(292.243,203.304) - 74.9634x210.795
ID:152 BoundingBox:(37.8011,211.073) - 71.8967x225.875
ID:155 BoundingBox:(196.885,174.715) - 47.403x170.319
ID:157 BoundingBox:(575.422,110.983) - 32.386x37.3151
ID:141 BoundingBox:(537.746,202.818) - 96.2489x237.436
ID:144 BoundingBox:(438.391,204.361) - 91.9867x245.362
ID:146 BoundingBox:(584.716,176.935) - 82.3149x168.773
ID:151 BoundingBox:(295.107,199.305) - 76.6813x211.81
ID:152 BoundingBox:(34.7046,209.841) - 70.6491x226.391
ID:155 BoundingBox:(197.488,173.87) - 45.412x166.779
ID:141 BoundingBox:(542.873,203.663) - 97.4514x238.57
ID:144 BoundingBox:(440.031,204.528) - 97.4308x241.605
ID:146 BoundingBox:(599.464,181.618) - 74.4138x162.495
ID:151 BoundingBox:(300.444,199.278) - 78.0349x212.288
ID:152 BoundingBox:(32.9438,210.11) - 69.5621x230.333
ID:155 BoundingBox:(201.642,168.124) - 47.6056x165.668
ID:141 BoundingBox:(545.935,204.436) - 95.39x236.791
ID:144 BoundingBox:(441.086,205.683) - 96.363x241.288
ID:146 BoundingBox:(606.519,180.647) - 63.3908x156.536
ID:151 BoundingBox:(298.449,203.409) - 78.3971x210.915
ID:152 BoundingBox:(29.9986,214.381) - 67.1685x234.305
ID:155 BoundingBox:(199.467,168.866) - 46.5094x166.205
ID:141 BoundingBox:(549.443,199.391) - 95.9189x235.309
ID:144 BoundingBox:(447.041,201.55) - 97.9925x236.84
ID:146 BoundingBox:(610.861,180.708) - 56.4107x151.175
ID:151 BoundingBox:(301.666,200.744) - 79.8259x205.984
ID:152 BoundingBox:(25.4119,219.438) - 61.194x234.615
ID:155 BoundingBox:(198.872,168.273) - 46.2685x164.214
ID:141 BoundingBox:(551.869,196.814) - 95.2083x236.41
ID:144 BoundingBox:(452.072,201.189) - 95.5704x235.685
ID:146 BoundingBox:(612.347,177.837) - 52.0593x146.349
ID:151 BoundingBox:(306.308,203.688) - 74.8636x205.341
ID:152 BoundingBox:(23.621,222.704) - 56.8349x228.586
ID:155 BoundingBox:(198.817,165.99) - 45.5511x163.57
ID:141 BoundingBox:(550.54,194.011) - 92.9619x235.026
ID:144 BoundingBox:(455.588,196.299) - 96.4474x236.562
ID:146 BoundingBox:(609.864,175.585) - 49.4623x142.81
ID:151 BoundingBox:(315.131,202.042) - 76.5971x208.068
ID:155 BoundingBox:(198.903,164.709) - 45.164x163.901
ID:141 BoundingBox:(553.715,196.434) - 90.925x235.983
ID:144 BoundingBox:(458.364,198.338) - 94.0628x234.996
