ID:1406 BoundingBox:(1561.36,544.942) - 105.309x280.533
ID:1407 BoundingBox:(1275.13,450.692) - 61.8702x144.249
ID:1440 BoundingBox:(1414.42,609.946) - 203.63x350.962
ID:1441 BoundingBox:(498.11,591.995) - 110.712x262.931
ID:1442 BoundingBox:(629.812,573.298) - 110.002x278.611
ID:1443 BoundingBox:(1723.72,509.832) - 75.11x153.882
ID:1444 BoundingBox:(1881.16,551.355) - 64.15x248.743
ID:1445 BoundingBox:(686.772,543.755) - 62.111x147.284
ID:1446 BoundingBox:(721.294,528.048) - 46.049x131.506
ID:1406 BoundingBox:(1540.01,585.505) - 107.899x289.176
ID:1407 BoundingBox:(1288.5,474.003) - 58.8225x135.027
ID:1440 BoundingBox:(1418.43,616.242) - 191.099x339.195
ID:1441 BoundingBox:(500.879,587.918) - 113.655x266.938
ID:1442 BoundingBox:(621.997,587.352) - 96.4841x257.347
ID:1443 BoundingBox:(1724.09,507.457) - 76.7291x155.832
ID:1444 BoundingBox:(1881.24,557.392) - 60.6187x232.731
ID:1445 BoundingBox:(666.76,551.946) - 74.234x184.287
ID:1446 BoundingBox:(723.908,529.294) - 47.3346x132.297
ID:1447 BoundingBox:(1321.73,478.038) - 55.47x117.233
ID:1392 BoundingBox:(1091.02,502.919) - 54.3576x123.657
ID:1406 BoundingBox:(1538.01,600.632) - 111.779x302.855
ID:1407 BoundingBox:(1289.11,476.534) - 57.0669x126.329
ID:1440 BoundingBox:(1434.01,613.954) - 204.158x346.582
ID:1441 BoundingBox:(500.374,590.469) - 112.069x263.76
ID:1442 BoundingBox:(619.072,594.25) - 90.1966x248.763
ID:1443 BoundingBox:(1722.03,506.2) - 82.2175x161.153
ID:1444 BoundingBox:(1882.22,555.707) - 61.8463x238.535
ID:1445 BoundingBox:(667.5,552.373) - 77.2065x191.671
ID:1446 BoundingBox:(707.57,533.495) - 51.5042x143.002
ID:1448 BoundingBox:(727.712,531.458) - 36.714x120.024
ID:1392 BoundingBox:(1093.94,519.724) - 50.6158x120.557
ID:1406 BoundingBox:(1536.99,612.605) - 112.858x315.632
ID:1407 BoundingBox:(1281.77,478.802) - 54.0305x111.448
ID:1440 BoundingBox:(1432.16,616.72) - 202.232x359.532
ID:1441 BoundingBox:(484.815,585.939) - 136.554x289.09
ID:1442 BoundingBox:(618.113,595.125) - 86.302x244.631
ID:1443 BoundingBox:(1720.94,508.071) - 87.5545x172.048
ID:1444 BoundingBox:(1882.58,556.228) - 62.3853x243.788
ID:1445 BoundingBox:(670.906,548.601) - 78.5499x195.803
ID:1447 BoundingBox:(1295.96,479.182) - 53.103x112.082
ID:1448 BoundingBox:(721.228,527.999) - 41.3569x128.37
ID:1392 BoundingBox:(1095.04,523.839) - 47.7799x117.628
ID:1406 BoundingBox:(1545.27,607.991) - 112.564x317.3
ID:1407 BoundingBox:(1284.92,482.027) - 56.4208x114.156
ID:1440 BoundingBox:(1445.56,610.088) - 191.744x350.309
ID:1441 BoundingBox:(479.976,583.973) - 148.39x294.127
ID:1442 BoundingBox:(625.956,582.887) - 90.2473x254.591
ID:1443 BoundingBox:(1716.31,508.208) - 87.5453x174.84
ID:1444 BoundingBox:(1882.57,544.357) - 62.167x237.987
ID:1445 BoundingBox:(675.552,547.074) - 78.3022x191.645
ID:1448 BoundingBox:(724.63,527.529) - 39.2102x117.859
ID:1406 BoundingBox:(1554.69,606.774) - 113.673x322.205
ID:1440 BoundingBox:(1456.65,613.692) - 190.777x364.458
ID:1441 BoundingBox:(497.415,582.289) - 150.42x287.354
ID:1442 BoundingBox:(628.031,579.201) - 90.767x259.508
ID:1443 BoundingBox:(1718.1,511.785) - 98.4851x183.593
ID:1444 BoundingBox:(1882.45,541.739) - 62.3834x234.463
ID:1446 BoundingBox:(677.452,545.732) - 62.0104x173.661
ID:1447 BoundingBox:(1284.38,478.383) - 42.6348x96.3838
ID:1448 BoundingBox:(725.461,530.289) - 44.6186x131.567
ID:1392 BoundingBox:(1098.75,528.832) - 50.4446x122.396
ID:1406 BoundingBox:(1550.93,603.66) - 111.683x321.885
